FECHA;LATITUD;LONGITUD;PEATONES
2021-01-01 07:00:00;40,405367;-3,701798;92.0
2021-01-01 07:00:00;40,409118;-3,692441;49.0
2021-01-01 07:00:00;40,41110888;-3,696471467;17.0
2021-01-01 07:00:00;40,41289138;-3,707464267;83.0
2021-01-01 07:00:00;40,41338702;-3,697740186;4.0
2021-01-01 07:00:00;40,41373441;-3,723947718;4.0
2021-01-01 07:00:00;40,415111;-3,713569;5.0
2021-01-01 07:00:00;40,41637598;-3,706029098;10.0
2021-01-01 07:00:00;40,41664098;-3,701246554;24.0
2021-01-01 07:00:00;40,418256;-3,697732;154.0
2021-01-01 07:00:00;40,41990798;-3,692363251;17.0
2021-01-01 07:00:00;40,42015321;-3,70435898;21.0
2021-01-01 07:00:00;40,4202703;-3,704325575;12.0
2021-01-01 07:00:00;40,42107227;-3,70049043;19.0
2021-01-01 07:00:00;40,42200905;-3,700891722;142.0
2021-01-01 07:00:00;40,42380314;-3,707379398;30.0
2021-01-01 07:00:00;40,42479893;-3,712094845;1.0
2021-01-01 07:00:00;40,42695341;-3,69448847;54.0
2021-01-01 07:00:00;40,43046926;-3,713297939;30.0
2021-01-01 08:00:00;40,405367;-3,701798;101.0
2021-01-01 08:00:00;40,409118;-3,692441;5.0
2021-01-01 08:00:00;40,41110888;-3,696471467;26.0
2021-01-01 08:00:00;40,41289138;-3,707464267;43.0
2021-01-01 08:00:00;40,41338702;-3,697740186;24.0
2021-01-01 08:00:00;40,41373441;-3,723947718;70.0
2021-01-01 08:00:00;40,415111;-3,713569;43.0
2021-01-01 08:00:00;40,41637598;-3,706029098;30.0
2021-01-01 08:00:00;40,41664098;-3,701246554;23.0
2021-01-01 08:00:00;40,418256;-3,697732;127.0
2021-01-01 08:00:00;40,41990798;-3,692363251;48.0
2021-01-01 08:00:00;40,42015321;-3,70435898;19.0
2021-01-01 08:00:00;40,4202703;-3,704325575;10.0
2021-01-01 08:00:00;40,42107227;-3,70049043;8.0
2021-01-01 08:00:00;40,42200905;-3,700891722;107.0
2021-01-01 08:00:00;40,42380314;-3,707379398;29.0
2021-01-01 08:00:00;40,42479893;-3,712094845;14.0
2021-01-01 08:00:00;40,42695341;-3,69448847;41.0
2021-01-01 08:00:00;40,43046926;-3,713297939;107.0
2021-01-01 09:00:00;40,405367;-3,701798;86.0
2021-01-01 09:00:00;40,409118;-3,692441;18.0
2021-01-01 09:00:00;40,41110888;-3,696471467;91.0
2021-01-01 09:00:00;40,41289138;-3,707464267;47.0
2021-01-01 09:00:00;40,41338702;-3,697740186;2.0
2021-01-01 09:00:00;40,41373441;-3,723947718;143.0
2021-01-01 09:00:00;40,415111;-3,713569;83.0
2021-01-01 09:00:00;40,41637598;-3,706029098;60.0
2021-01-01 09:00:00;40,41664098;-3,701246554;24.0
2021-01-01 09:00:00;40,418256;-3,697732;178.0
2021-01-01 09:00:00;40,41990798;-3,692363251;53.0
2021-01-01 09:00:00;40,42015321;-3,70435898;25.0
2021-01-01 09:00:00;40,4202703;-3,704325575;16.0
